Year,Player,Pos,Height,WT,Age,Teams,GP,YOS,Pre-Draft Team,Draft Status,Nationality
2022,Rudy Gobert,C,85,245,29,UTA,66,8,Cholet Basket (France),2013 Rnd 1 Pick 27,France
2022,Brandon Goodwin,PG,72,180,26,CLE,36,3,Florida Gulf Coast,"2018 NBA Draft, Undrafted",United States
2022,Jordan Goodwin,SG,75,200,23,WAS,2,0,Saint Louis,"2021 NBA Draft, Undrafted",United States
2022,Aaron Gordon,F,80,235,26,DEN,75,7,Arizona,2014 Rnd 1 Pick 4,United States
2022,Eric Gordon,G,75,215,33,HOU,57,13,Indiana,2008 Rnd 1 Pick 7,United States
2022,Devonte' Graham,PG,73,185,27,NOP,76,3,Kansas,2018 Rnd 2 Pick 4,United States
2022,Jerami Grant,F,80,210,27,DET,47,7,Syracuse,2014 Rnd 2 Pick 9,United States
2022,Hassani Gravett,SG,74,188,25,ORL,8,0,South Carolina,"2019 NBA Draft, Undrafted",United States
2022,Danny Green,SF,78,220,34,PHI,62,12,North Carolina,2009 Rnd 2 Pick 16,United States
2022,Draymond Green,F,78,235,31,GSW,46,9,Michigan State,2012 Rnd 2 Pick 5,United States
2022,JaMychal Green,PF,80,227,31,DEN,67,7,Alabama,"2012 NBA Draft, Undrafted",United States
2022,Jalen Green,SG,78,178,20,HOU,67,0,NBA G League Ignite,2021 Rnd 1 Pick 2,United States
2022,Javonte Green,G,76,205,28,CHI,65,2,Radford,"2015 NBA Draft, Undrafted",United StatesMontenegro
2022,Jeff Green,F,80,235,35,DEN,75,13,Georgetown,2007 Rnd 1 Pick 5,United States
2022,Josh Green,SG,78,210,21,DAL,67,1,Arizona,2020 Rnd 1 Pick 18,United StatesAustralia
2022,Blake Griffin,PF,81,246,32,BRK,56,12,Oklahoma,2009 Rnd 1 Pick 1,United States
2022,Quentin Grimes,SG,77,205,21,NYK,46,0,Houston,2021 Rnd 1 Pick 25,United States
2022,Kyle Guy,SG,73,167,24,MIA,19,2,Virginia,2019 Rnd 2 Pick 25,United States
2022,Rui Hachimura,F,80,230,24,WAS,42,2,Gonzaga,2019 Rnd 1 Pick 9,Japan
2022,Tyrese Haliburton,PG,77,172,21,"IND, SAC",77,1,Iowa State,2020 Rnd 1 Pick 12,United States
2022,Tyler Hall,SG,77,209,24,NYK,1,0,Montana State,"2019 NBA Draft, Undrafted",United States
2022,R.J. Hampton,G,78,190,21,ORL,64,1,New Zealand (New Zealand),2020 Rnd 1 Pick 24,United States
2022,Tim Hardaway Jr.,SG,77,205,29,DAL,42,8,Michigan,2013 Rnd 1 Pick 24,United States
2022,James Harden,SG,77,220,32,"BRK, PHL",65,12,Arizona State,2009 Rnd 1 Pick 3,United States
2022,Maurice Harkless,F,81,220,28,SAC,47,9,St. John's,2012 Rnd 1 Pick 15,United StatesPuerto Rico
2022,Jared Harper,PG,72,175,24,NOP,5,2,Auburn,"2019 NBA Draft, Undrafted",United States
2022,Montrezl Harrell,F,79,240,28,"CHA, WAS",71,6,Louisville,2015 Rnd 2 Pick 2,United States
2022,Gary Harris,SG,76,205,27,ORL,61,7,Michigan State,2014 Rnd 1 Pick 19,United States
2022,Joe Harris,SG,78,220,30,BRK,14,7,Virginia,2014 Rnd 2 Pick 3,United States
2022,Tobias Harris,F,79,230,29,PHI,73,10,Tennessee,2011 Rnd 1 Pick 19,United States
2022,Shaquille Harrison,G,75,195,28,BRK,2,4,Tulsa,"2016 NBA Draft, Undrafted",United States
2022,Josh Hart,SG,77,215,26,"NOP, POR",54,4,Villanova,2017 Rnd 1 Pick 30,United States
2022,Isaiah Hartenstein,PF,84,250,23,LAC,68,3,Zalgiris (Lithuania),2017 Rnd 2 Pick 13,United StatesGermany
2022,Udonis Haslem,FC,80,235,41,MIA,13,18,Florida,"2002 NBA Draft, Undrafted",United States
2022,Sam Hauser,SF,80,215,24,BOS,26,0,Virginia,"2021 NBA Draft, Undrafted",United States
2022,Jaxson Hayes,PF,83,220,21,NOP,70,2,Texas,2019 Rnd 1 Pick 8,United States
2022,Killian Hayes,G,77,195,20,DET,66,1,Ratiopharm Ulm (Germany),2020 Rnd 1 Pick 7,FranceUnited States
2022,Gordon Hayward,GF,79,230,31,CHA,49,11,Butler,2010 Rnd 1 Pick 9,United States
2022,Aaron Henry,F,77,210,22,PHI,6,0,Michigan State,"2021 NBA Draft, Undrafted",United States
2022,Juancho Hernangomez,F,81,214,26,"BOS, SAN, UTH",40,5,Movistar Estudiantes (Spain),2016 Rnd 1 Pick 15,Spain
2022,Willy Hernangomez,C,83,250,27,NOP,50,5,Cajasol Seville U18 (Spain),2015 Rnd 2 Pick 5,Spain
2022,Tyler Herro,SG,78,195,22,MIA,66,2,Kentucky,2019 Rnd 1 Pick 13,United States
2022,Buddy Hield,G,76,220,29,"IND, SAC",81,5,Oklahoma,2016 Rnd 1 Pick 6,Bahamas
2022,Haywood Highsmith,F,79,220,25,MIA,19,1,Wheeling Jesuit,"2018 NBA Draft, Undrafted",United States
2022,George Hill,G,75,188,35,MIL,54,13,IUPUI,2008 Rnd 1 Pick 26,United States
2022,Malcolm Hill,G,78,220,26,"ATL, CHI",19,0,Illinois,"2017 NBA Draft, Undrafted",United States
2022,Solomon Hill,SF,78,226,30,ATL,13,8,Arizona,2013 Rnd 1 Pick 23,United States
2022,Nate Hinton,SF,77,210,22,IND,2,1,Houston,"2020 NBA Draft, Undrafted",United States
2022,Jaylen Hoard,PF,80,216,22,OKC,7,2,Wake Forest,"2019 NBA Draft, Undrafted",France
2022,Aaron Holiday,PG,72,185,25,"PHX, WAS",63,3,UCLA,2018 Rnd 1 Pick 23,United States
